AT32UC3A0512,0xED,0xC0,0x3F
ATxmega128A4U,0x1e,0x97,0x46
ATxmega128B1,0x1e,0x97,0x4d
ATxmega128B3,0x1e,0x97,0x4b
ATxmega128C3,0x1e,0x97,0x52
ATxmega128D3,0x1e,0x97,0x48
ATxmega128D4,0x1e,0x97,0x47
ATxmega16A4,0x1e,0x94,0x41
ATxmega16A4U,0x1e,0x94,0x41
ATxmega16C4,0x1e,0x95,0x44
ATxmega16D4,0x1e,0x94,0x42
ATxmega16E5,0x1e,0x94,0x45
ATxmega192A1,0x1e,0x97,0x4e
ATxmega192A3,0x1e,0x97,0x44
ATxmega192A3U,0x1e,0x97,0x44
ATxmega192C3,0x1e,0x97,0x51
ATxmega192D3,0x1e,0x97,0x49
ATxmega256A1,0x1e,0x98,0x46
ATxmega256A3,0x1e,0x98,0x42
ATxmega256A3B,0x1e,0x98,0x43
ATxmega256A3BU,0x1e,0x98,0x43
ATxmega256A3U,0x1e,0x98,0x42
ATxmega256C3,0x1e,0x98,0x46
ATxmega256D3,0x1e,0x98,0x44
ATxmega32A4,0x1e,0x95,0x41
ATxmega32A4U,0x1e,0x95,0x41
ATxmega32C4,0x1e,0x94,0x43
ATxmega32D4,0x1e,0x95,0x42
ATxmega32E5,0x1e,0x95,0x4c
ATxmega384C3,0x1e,0x98,0x45
ATxmega384D3,0x1e,0x98,0x47
ATxmega64A1,0x1e,0x96,0x4e
ATxmega64A1U,0x1e,0x96,0x4e
ATxmega64A3,0x1e,0x96,0x42
ATxmega64A3U,0x1e,0x96,0x42
ATxmega64A4,0x1e,0x96,0x46
ATxmega64A4U,0x1e,0x96,0x46
ATxmega64B1,0x1e,0x96,0x52
ATxmega64B3,0x1e,0x96,0x51
ATxmega64C3,0x1e,0x96,0x49
ATxmega64D3,0x1e,0x96,0x4a
ATxmega64D4,0x1e,0x96,0x47
ATxmega8E5,0x1e,0x93,0x41
